id,flow_rate,device_id,timeInstant,humidity,humiditySoil,temperature,commandInfo,totalFlow,created_at
76ff9216-afca-11ec-8782-0e9170a2fd2b," 0",Thing:smartirrigation005,29-03-2022T22:41:05,76.00,100.0086.75,24.30,false," 0",1648593665
2dce0538-aecf-11ec-9e85-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:42:18,31.00,70.57,38.03,false,751,1648582933
51a70cde-aecf-11ec-b76a-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:43:18,34.00,69.89,36.05,false,751,1648582993
7564938a-aecf-11ec-8478-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:44:18,37.00,70.31,34.63,false,751,1648583053
99256cf4-aecf-11ec-8aac-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:45:18,41.80,70.92,33.24,false,751,1648583113
bce799d2-aecf-11ec-8284-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:46:18,43.00,70.45,32.66,false,751,1648583173
e0a58db6-aecf-11ec-87a1-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:47:18,44.67,68.35,32.27,false,751,1648583233
044fb2f0-aed0-11ec-87b5-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:48:18,47.25,70.77,31.62,false,751,1648583293
2819f04c-aed0-11ec-83f8-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:49:18,48.40,72.19,31.40,false,751,1648583353
4bf1d4a8-aed0-11ec-b36e-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:50:18,49.00,70.53,31.35,false,751,1648583413
6fb628c6-aed0-11ec-a674-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:51:18,49.00,70.23,31.20,false,751,1648583473
937dd1d2-aed0-11ec-9936-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:52:18,49.00,71.48,31.12,false,751,1648583533
b72d191c-aed0-11ec-8153-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:53:18,49.20,69.60,30.92,false,751,1648583593
dafd4894-aed0-11ec-9859-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:54:18,50.00,70.18,30.62,false,751,1648583653
feb7915e-aed0-11ec-9c0d-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:55:18,51.00,68.82,30.38,false,751,1648583713
229acbc2-aed1-11ec-9391-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:56:18,51.40,70.04,30.16,false,751,1648583773
463eae2c-aed1-11ec-9839-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:57:18,52.20,70.04,30.02,false,751,1648583833
69f004ec-aed1-11ec-ade6-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:58:18,54.00,70.60,29.76,false,751,1648583893
